indiv,latency,status,tstart,tstop,contacts,domscore,urbanscore,explscore,solve,site,habitat,age,sex
2780-73292,3699,0,0,60,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,60,120,19,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,120,180,21,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,180,240,4,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,240,300,2,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,300,360,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,360,420,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,420,480,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,480,540,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,540,600,3,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,600,660,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,660,720,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,720,780,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,780,840,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,840,900,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,900,960,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,960,1020,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1020,1080,1,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1080,1140,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1140,1200,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1200,1260,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1260,1320,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1320,1380,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1380,1440,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1440,1500,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1500,1560,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1560,1620,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1620,1680,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1680,1740,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
2780-73292,3699,0,1740,1800,0,0.833333333,1.9574239,-0.72829997,0,FRP,urban,NA,NA
