capturedate,site,indiv,age,sex,habitat,urbanscore,explscore,domscore,lpsolve,lplatency,lpstatus,lpcontacts,prsolve,prlatency,prstatus,prcontacts
20161003,FRP,2780-73292,NA,NA,urban,1.9574239,-0.72829997,0.833333333,NA,3699,0,51,Y,45,1,17
20161003,FRP,2780-73291,adult,NA,urban,1.9574239,-1.58051004,0.5,NA,NA,NA,NA,NA,3751,0,14
20161003,FRP,2780-73290,juvenile,NA,urban,1.9574239,9.21189178,NA,NA,3701,0,42,NA,3751,0,2
20161003,FRP,2780-73289,adult,NA,urban,1.9574239,5.56936326,1,Y,1268,1,10,NA,3751,0,4
20161003,FRP,2780-73288,juvenile,NA,urban,1.9574239,0.9077061,0.666666667,NA,3701,0,39,Y,80,1,44
20161003,FRP,2780-73297,juvenile,NA,urban,1.9574239,4.19674715,NA,Y,NA,NA,NA,Y,154,1,10
20161003,FRP,2780-73295,juvenile,NA,urban,1.9574239,-1.76498712,0.166666667,NA,3925,0,2,NA,3863,0,3
20161003,FRP,2780-73296,NA,NA,urban,1.9574239,-1.1135091,NA,NA,3924,0,8,NA,3863,0,0
20161003,FRP,2780-73293,adult,NA,urban,1.9574239,-1.77651789,0.333333333,NA,3924,0,11,NA,3863,0,0
20161003,FRP,2780-73298,adult,NA,urban,1.9574239,-1.23650078,NA,NA,3924,0,NA,Y,29,1,13
20161017,BB,2780-73255,adult,female,rural,-1.6219283,-1.83243772,0.071428571,N,2953,0,48,N,7373,0,0
20161017,BB,2780-73301,juvenile,male,rural,-1.6219283,-1.72206955,0.571428571,Y,74,0,45,Y,192,1,52
20161017,BB,2780-73303,adult,female,rural,-1.6219283,-1.62785929,0.642857143,Y,975,1,38,Y,5871,1,11
20161017,BB,2780-73299,adult,male,rural,-1.6219283,-1.51336074,0.142857143,Y,6741,1,41,Y,6075,1,9
20161017,BB,2780-73300,juvenile,female,rural,-1.6219283,-0.63708277,NA,Y,39,1,40,N,7373,0,1
20161017,BB,2730-71137,adult,male,rural,-1.6219283,0.84351554,NA,Y,186,1,58,N,7373,0,26
20161017,BB,2780-73254,adult,male,rural,-1.6219283,2.50662871,1,Y,253,1,5,Y,18,1,12
20161017,BB,2730-71136,adult,female,rural,-1.6219283,-1.69675365,NA,Y,27,1,60,N,7682,0,11
20161017,BB,2780-73256,adult,female,rural,-1.6219283,0.18870302,0.714285714,Y,33,1,19,Y,1157,1,22
20161017,BB,2780-73302,juvenile,female,rural,-1.6219283,-1.38479609,NA,Y,7834,0,58,Y,693,1,18
20161017,BB,2780-73204,adult,male,rural,-1.6219283,-0.29969217,0.785714286,Y,348,1,25,Y,341,1,10
20161017,BB,2780-73253,adult,male,rural,-1.6219283,0.63028729,0.928571429,Y,11,1,6,Y,5915,1,43
20161024,CP,2780-73308,adult,male,urban,2.1566402,-1.52476973,1,Y,432,0,42,Y,NA,NA,NA
20161024,CP,2780-73307,juvenile,male,urban,2.1566402,3.01298211,0.75,Y,140,1,3,Y,3443,0,1
20161024,CP,2780-73306,adult,female,urban,2.1566402,1.49907425,NA,Y,398,1,4,Y,3443,0,11
20161024,CP,2780-73310,juvenile,female,urban,2.1566402,-2.06936788,NA,Y,225,0,108,N,7079,0,0
20161024,CP,2780-73311,juvenile,male,urban,2.1566402,1.59304449,0.5,Y,193,1,7,N,7079,0,7
20161024,CP,2780-73309,NA,male,urban,2.1566402,-1.43848316,0.25,Y,269,1,105,NA,NA,NA,NA
20161024,AP,2780-73315,juvenile,male,urban,2.4818138,2.24794899,NA,Y,96,1,68,Y,1336,1,23
20161024,AP,2780-73314,NA,female,urban,2.4818138,-0.45665775,0.333333333,Y,199,1,61,Y,NA,NA,NA
20161024,AP,2780-73312,juvenile,female,urban,2.4818138,-1.95635373,NA,Y,6924,1,66,Y,3466,0,4
20161024,AP,2780-73313,adult,male,urban,2.4818138,4.05467716,1,Y,22,1,21,Y,132,1,17
20161024,AP,2780-73317,juvenile,female,urban,2.4818138,5.00664417,0.444444444,N,7463,0,13,Y,3466,0,5
20161024,AP,2780-73248,adult,female,urban,2.4818138,3.61862753,NA,Y,95,1,7,Y,3466,0,11
20161107,LNP,2780-73322,juvenile,female,rural,-1.9998735,-0.89224026,NA,Y,20,0,12,Y,NA,NA,NA
20161107,LNP,2780-73323,juvenile,male,rural,-1.9998735,-0.89086256,NA,N,7638,0,21,N,7251,0,10
20161107,LNP,2780-73331,adult,male,rural,-1.9998735,-1.66360659,NA,Y,134,1,66,Y,607,1,17
20161107,LNP,2780-73319,juvenile,female,rural,-1.9998735,-1.88755824,NA,N,7637,0,50,N,7251,0,22
20161107,LNP,2780-73318,adult,male,rural,-1.9998735,5.45123277,NA,Y,247,1,15,N,7251,0,17
20161107,LNP,2780-73320,adult,female,rural,-1.9998735,0.49659064,NA,Y,201,1,59,Y,76,1,5
20161107,LNP,2780-73325,juvenile,male,rural,-1.9998735,-1.86367523,0.666666667,N,7577,0,19,Y,107,1,57
20161107,LNP,2780-73329,juvenile,female,rural,-1.9998735,-1.69696881,NA,Y,3950,1,43,N,7272,0,29
20161107,LNP,2780-73327,adult,female,rural,-1.9998735,-0.29040152,NA,Y,71,1,8,Y,3966,1,29
20161107,LNP,2780-73326,adult,male,rural,-1.9998735,-1.4324258,1,Y,254,1,37,Y,172,1,30
20161107,LNP,2780-73328,adult,male,rural,-1.9998735,-0.18240875,NA,N,7578,0,50,N,7272,0,0
20161107,LNP,2780-73330,juvenile,female,rural,-1.9998735,-1.99178046,NA,N,7577,0,9,Y,809,1,14
20161114,ML,2780-73348,juvenile,male,urban,0.4296663,-1.98573659,0.642857143,NA,NA,NA,NA,NA,NA,NA,NA
20161114,ML,2780-73351,adult,male,urban,0.4296663,3.12260683,0.571428571,Y,85,1,5,Y,457,1,26
20161114,ML,2780-73353,juvenile,male,urban,0.4296663,-1.27679128,0.928571429,Y,3993,1,36,NA,3664,0,1
20161114,ML,2780-73347,adult,female,urban,0.4296663,-1.4278386,0.857142857,N,7254,0,6,NA,3664,0,12
20161114,ML,2780-73349,adult,male,urban,0.4296663,-1.44806143,0.785714286,NA,NA,NA,NA,NA,3664,0,2
20161114,ML,2780-73352,juvenile,male,urban,0.4296663,0.11152112,0.285714286,N,7253,0,17,NA,3664,0,8
20161114,ML,2780-73356,adult,male,urban,0.4296663,-1.59366973,1,Y,1883,0,33,Y,612,1,32
20161114,ML,2780-73360,juvenile,female,urban,0.4296663,-0.68073424,0.142857143,Y,24,1,7,Y,244,1,25
20161114,ML,2780-73350,juvenile,female,urban,0.4296663,3.66528739,0.428571429,Y,5365,1,33,NA,3657,0,12
20161114,ML,2780-73357,adult,female,urban,0.4296663,-1.64711172,0.5,Y,55,1,2,NA,3657,0,10
20161114,ML,2780-73354,juvenile,female,urban,0.4296663,3.9891727,0.071428571,Y,NA,NA,NA,Y,39,1,13
20161114,ML,2780-73355,juvenile,male,urban,0.4296663,0.87995255,0.357142857,N,2308,0,79,Y,314,1,23
20161128,SR,2780-73391,NA,female,rural,-1.8852815,-1.94838037,NA,Y,39,1,30,NA,NA,NA,NA
20161128,SR,2780-73388,adult,female,rural,-1.8852815,-1.11340854,0.375,N,7482,0,13,N,7945,0,0
20161128,SR,2780-73392,juvenile,male,rural,-1.8852815,-1.24362927,NA,Y,48,1,11,NA,NA,NA,NA
20161128,SR,2780-73393,adult,male,rural,-1.8852815,-1.99487635,NA,Y,483,1,14,N,7945,0,12
20161128,SR,2780-73389,adult,male,rural,-1.8852815,-1.67740888,0.625,Y,1060,1,8,NA,NA,NA,NA
20161128,SR,2780-73390,adult,male,rural,-1.8852815,0.68176272,0.75,Y,999,1,50,NA,NA,NA,NA
20161128,SR,2780-73398,juvenile,male,rural,-1.8852815,-0.89203514,0.5,Y,3659,1,13,Y,693,1,18
20161128,SR,2780-73399,adult,female,rural,-1.8852815,-1.78728756,0.25,N,4610,0,28,Y,1377,1,25
20161128,SR,2780-73394,NA,male,rural,-1.8852815,-1.47432504,NA,N,7637,0,63,Y,464,1,17
20161128,SR,2780-73397,adult,female,rural,-1.8852815,-1.64173342,0.125,Y,2530,0,21,NA,NA,NA,NA
20161128,SR,2780-73395,adult,male,rural,-1.8852815,-0.56209863,1,Y,865,1,5,N,8098,0,5
20161128,SR,2780-73400,NA,male,rural,-1.8852815,4.05385716,0.875,Y,74,1,20,Y,5808,1,10
